File Path,Classes,Functions,Methods,Total Definitions,Top Names,Top Param Types,Top Return Types
.venv/lib/python3.12/site-packages/prompt_toolkit/layout/scrollable_pane.py,1,0,18,19,"__init__, __repr__, reset, preferred_width, preferred_height","int, WritePosition, Screen, FilterOrBool, <complex_annotation>","<complex_annotation>, Dimension, bool, str, Point"
.venv/lib/python3.12/site-packages/prompt_toolkit/layout/dummy.py,0,2,0,2,"create_dummy_layout, enter","E","Layout, <complex_annotation>"
.venv/lib/python3.12/site-packages/prompt_toolkit/layout/processors.py,21,1,49,71,"apply_transformation, __init__, __repr__, _get_search_text, default_get_char","TransformationInput, int, <complex_annotation>, str, BufferControl","Transformation, <complex_annotation>, str, int, tuple[BufferControl, Document, int, SourceToDisplay, StyleAndTextTuples, int, int]"
.venv/lib/python3.12/site-packages/prompt_toolkit/layout/layout.py,2,1,27,30,"walk, current_control, current_window, __init__, __repr__","Container, FocusableElement, AnyContainer, <complex_annotation>, UIControl","<complex_annotation>, bool, Iterable[Container], UIControl, str"
.venv/lib/python3.12/site-packages/prompt_toolkit/layout/containers.py,16,4,122,142,"__init__, reset, preferred_width, preferred_height, write_to_screen","int, <complex_annotation>, bool, Screen, WritePosition","<complex_annotation>, int, Dimension, list[Container], bool"
.venv/lib/python3.12/site-packages/prompt_toolkit/layout/menus.py,5,2,37,44,"preferred_width, preferred_height, create_content, get_line, __init__","int, bool, <complex_annotation>, CompletionState, Completion","<complex_annotation>, bool, StyleAndTextTuples, int, UIContent"
.venv/lib/python3.12/site-packages/prompt_toolkit/layout/margins.py,5,0,15,20,"get_width, create_margin, __init__, is_scroll_button","int, Callable[<complex_annotation>, UIContent], WindowRenderInfo, FilterOrBool, str","int, StyleAndTextTuples, <complex_annotation>, bool"
.venv/lib/python3.12/site-packages/prompt_toolkit/layout/utils.py,1,1,6,8,"__setitem__, explode_text_fragments, append, extend, insert","_T, Iterable[_T], SupportsIndex, <complex_annotation>, slice","<complex_annotation>, _ExplodedList[_T]"
.venv/lib/python3.12/site-packages/prompt_toolkit/layout/controls.py,7,0,54,61,"is_focusable, create_content, __init__, preferred_width, preferred_height","int, <complex_annotation>, bool, FilterOrBool, MouseEvent","<complex_annotation>, bool, UIContent, StyleAndTextTuples, NotImplementedOrNone"
.venv/lib/python3.12/site-packages/prompt_toolkit/layout/mouse_handlers.py,1,0,3,4,"__init__, dummy_callback, set_mouse_handler_for_range","int, MouseEvent, Callable[<complex_annotation>, NotImplementedOrNone]","<complex_annotation>, NotImplementedOrNone"
.venv/lib/python3.12/site-packages/prompt_toolkit/layout/dimension.py,1,4,5,10,"sum_layout_dimensions, max_layout_dimensions, to_dimension, is_dimension, __init__","<complex_annotation>, list[Dimension], int, AnyDimension, object","Dimension, <complex_annotation>, bool, str, TypeGuard[AnyDimension]"
.venv/lib/python3.12/site-packages/prompt_toolkit/layout/screen.py,3,0,16,19,"__init__, __repr__, _equal, _not_equal, visible_windows","int, str, Window, Char, Point","<complex_annotation>, bool, str, Point, list[Window]"